PostContent,Theme
"Amazon today announced the completion of their acquisition of One Medical weeks after CVS Health announced the acquisition of Oak Street Health.
These deals have the potential to be transformative for the healthcare industry and for patientsâ€”and both companies have world-class operating executives in place to shepherd the acquisitions in Amir Dan Rubin and Amar A. Desai, MD, MPH.
That said, the history of big publicly-traded companies owning health care delivery has been mixedâ€”at best.
In order for these deals to live of to their potential, both corporations will need to commit to something that is often unnatural in publicly-traded companies.
Namely, a distinctive operating culture within the context of a much broader organization whose products and services are largely unlike.
Some key imperatives:
Avoid the temptation for corporate conformity: no one likes to hear this, but healthcare delivery is different. HR process, compliance requirements, financial managementâ€”all require a different lens. Big companies who do similar sounding and related but fundamentally different things (health insurance v health care delivery; pharmacy v primary care) tend to demand and expect homogeneity, sometimes to the detriment of the acquired entity.
Remember that in healthcare delivery, patients always have to come before profit: this isnâ€™t corporate pablum but the most fundamental tenet of healthcare delivery. Organizations lose the hearts and minds of the front line (where the true value is created) when short-term thinking mortgages the long-term prospects. Scarcity of resources and the drive towards earnings can lead to anti-patient activities that erode morale and destroy long-term value.
Focus on talent retention: in clinical companies, the product is the clinician-patient relationships. Big companies tend to treat frontline workers like they are interchangeable parts. This is a losing strategy in healthcare where the patientâ€™s allegiance to the doctor trumps their allegiance to the company, the health system, pharmacy, or the health insurer.
Remember to be relentless in connecting the dots: these deals were built on the premise that 1+1 could equal 3. Amazon could potentially connect its Prime services with its primary care capabilities. CVS its pharmacy with its primary care. These connection points represent the innovation promise of these deals. But because of the silos that exist in large corporations, these are often the opportunities that get shelved most quickly. Corporate politics and fiefdoms get in the way of true value creation.
Leadership from the top will matter a lot. The tendency to tell leaders to â€œfigure it outâ€ wonâ€™t be enough. There will need to be clear direction from the CEOs of both corporationsâ€”Andy Jassy and Karen S. Lynchâ€”and the kind of upfront problem-solving that happens far too rarely in big corporations.
Time will tell if they can get it right. I sincerely hope they do.",Workforce strategy
"Layoffs in healthcare service delivery organizations are often quite problematic.
While organizations need to rightsize their cost structure or transform or modernize their operations, I have often seen organizations that provide care to patients lay off clinical staff without regard to the clinical needs or obligations that they have to their patients.
A specific savings target becomes a blind fixation that overtakes even a passing analysis of the staffing levels to meet even basic service levels.
Cut first, think later.
As healthcare organizations facing a sea of red numbers go through a period of contractionâ€”maybe even necessary contractionâ€”a cautionary reminder to think about the patients at every turn.
Itâ€™s easy to forget why we are hereâ€”and hint: itâ€™s not just to make our numbers.",Workforce strategy
"The uncertainty in the economy and increasing layoffs is shifting the balance of power in corporate America.
The way I see it, thereâ€™s no greater time for companies to invest more in their workforce and that includes making investments to help employees improve their health and wellbeing. Prioritizing these investments demonstrates to employees that a company supports its people.
The Wall Street Journal explores these new trends in workplace dynamics here:
https://lnkd.in/gjXmydc7",Workforce strategy
"Layoffs can conversely lead to resignations in a workforce. The question is, why?
Layoffs can create an atmosphere of stress and anxiety in the workplace. Employees, if not reassured, constantly worry they may be next. Doing nothing to assuage fears can degrade trust in management, leading to employees quitting because they feel unsupported by their work environment.
Employers should ask themselves â€“ am I doing enough to maintain trust and nurture talent?
This New York Times piece explores this idea further. One thing is for certain â€“ leaders need to be actively listening to their employees right now.",Workforce strategy
"Layoffs are among the most challenging life experiences. One study notes it can cause as much psychological stress as a divorce. For remote workers, layoffs can be especially isolating and destabilizing.
People are the most important part of any company, but as the economy shifts and companies are forced to make difficult workforce decisions, itâ€™s the responsibility of the company to help their employees navigate this challenging process.
We can learn something from Nokiaâ€™s people-first strategy during its 2011 restructuring. At the time, it gave advance notice to affected personnel by offering multiple pathways for employees, like helping them find new roles internally, start their own business or start educational programs.
As hard as layoffs are, employers must respect their employees and the work they have contributed. Let us lead with humanity in these tough moments.
More here:",Workforce strategy
"It's the era of the employeeâ€”where companies will be measured not only by their performance, but also by how well they treat their people. Leaders who view the current macro environmental challenges as opportunities and take the initiative to focus on their employees, will not only create an environment where their people can thrive but will also reduce costs and improve their bottom line. The latest article from Fortune from this weekâ€™s #CEOinitiative roundtable discussion explores this topic:
https://lnkd.in/gaSueWey
#EmployeeExperience #CEOinitiative",Workforce strategy
"The role of the #CFO has been changing over the last two years. Weâ€™re in the phase of what I like to call the â€œoperational CFO,â€ a type of CFO that connects the dots across different functions and works across the whole enterprise. Whether it be human resources, information technology or another aspect of the business, the operational CFO helps deal with all issues a company may be facing.
It was great to share these insights with CFO Dive's Elizabeth Flood.",Workforce strategy
"#Trust is built in hard times, not easy times. And amid an increasingly uncertain economic environment, this is the time to really work to build trust with stakeholders, including employees.
60% of workers surveyed by PwC report that companies can boost trust amid #layoffs by:
âž¡ Encouraging bosses to step up communication
âž¡ Offering robust severance packages
âž¡ Being open about the reasoning for job cuts
Recent challenges across a variety of industries offer employers the chance to build meaningful, long-term trust with employees by being transparent, even when that might be difficult to do.
It was great to share PwCâ€™s latest survey findings with Insiderâ€™s JosÃ©e Rose and Tim Paradis.",Workforce strategy
"MedCity News reporter Marissa Plescia addresses the number of digital healthcare point solutions in the market which continues to climb, creating a challenge for employers in selecting and managing the right portfolio to attract and retain talent while improving affordability, utilization and health outcomes. She explores how #healthcarenavigation solutions such as Quantum Health can minimize point solution fatigue, serving as a single point of contact for employees.",Workforce strategy
"I’m honored to represent Dominion Energy and the Virginia Energy Workforce Consortium along with the Virginia Nuclear Energy Consortium at the Virginia-Canada Nuclear Energy Roundtable at the Embassy of Canada in Washington D.C.

Workforce Development is a key topic that will be discussed along with the other important topics including Nuclear development and new technologies,supply chain needs … of course meaningful partnerships and other opportunities.

I’ll say again … sustained focus and attention to workforce and talent pipeline development is and will be key! 😊",Workforce strategy
